date,count,dif,week,weeksum,ch,as,eu,af,am,au
20200323,144,18,13,,17,29,94,2,38,0
20200324,171,27,13,,17,29,114,2,43,0
20200325,227,56,13,,17,33,143,2,56,0
20200326,284,57,13,,17,36,168,2,67,0
20200327,309,25,13,,17,37,179,2,74,0
20200328,363,54,13,,17,41,204,2,86,0
20200329,412,49,14,,17,49,235,2,109,0
20200330,476,64,14,,17,56,262,2,139,0
20200331,518,42,14,,17,60,282,2,157,0
20200401,560,42,14,,17,64,298,3,178,0
20200402,601,41,14,,17,67,316,3,198,0
20200403,647,46,14,,17,71,338,3,218,0
20200404,688,41,14,325,17,75,351,3,240,0
20200405,741,53,15,,17,85,372,3,264,0
20200406,769,28,15,,17,85,378,3,286,0
20200407,802,33,15,,17,87,389,3,306,1
20200408,832,30,15,,16,92,401,3,320,1
20200409,861,29,15,,16,95,408,3,339,1
20200410,869,8,15,,16,95,410,3,345,1
20200411,886,17,15,198,16,96,414,3,357,1
20200412,912,26,16,,16,98,418,3,377,1
20200413,929,17,16,,16,100,421,3,389,1
20200414,940,11,16,,16,100,423,3,398,1
20200415,955,15,16,,16,102,429,3,405,1
20200416,967,12,16,,16,102,429,3,405,1
20200417,983,16,16,,16,107,434,3,422,1
20200418,993,10,16,107,16,108,437,3,428,1
20200419,998,5,17,,16,108,439,3,431,1
20200420,1006,8,17,,16,108,439,3,439,1
20200421,1011,5,17,,16,109,440,3,442,1
20200422,1017,6,17,,16,111,442,3,444,1
20200423,1021,4,17,,17,112,442,3,446,1
20200424,1023,2,17,,17,112,442,3,448,1
20200425,1027,4,17,34,17,112,443,3,451,1
20200426,1037,10,18,,17,115,446,3,455,1
20200427,1044,7,18,,17,117,448,3,458,1
20200428,1056,12,18,,17,121,454,3,460,1
20200429,1061,5,18,,18,122,456,3,461,1
20200430,1065,4,18,,19,123,456,3,463,1
20200501,1073,8,18,,19,127,457,3,466,1
20200502,1081,8,18,54,19,129,460,3,469,1
20200503,1091,10,19,,19,133,461,3,473,1
20200504,1099,8,19,,19,139,461,3,476,1
20200505,1102,3,19,,19,140,462,3,477,1
20200506,1104,2,19,,19,142,462,3,477,1
20200507,1107,3,19,,19,143,462,3,479,1
20200508,1118,11,19,,19,151,462,3,482,1
20200509,1119,1,19,,19,152,462,3,483,1
20200510,1127,8,20,,19,154,462,6,485,1
20200511,1129,2,20,,19,155,462,6,486,1
20200512,1131,2,20,,19,157,462,6,486,1
20200513,1132,1,20,,19,158,462,6,486,1
20200514,1133,1,20,,19,159,462,6,486,1
20200515,1133,0,20,,19,159,462,6,486,1
20200516,1133,0,20,,19,159,462,6,486,1
20200517,1133,0,20,,19,159,462,6,486,1
20200518,1133,0,20,,19,159,462,6,486,1
20200519,1133,0,20,,19,159,462,6,486,1
